Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation,code
2007-01-31,3.63,1.17485,3.0897561390816,1.1273291925466,-4.044840401193,,,,,,BIGMAC_CAN
2007-06-30,3.88,1.05345,3.683136361479,1.1378299120235,8.0098639729897,,,,,,BIGMAC_CAN
2008-06-30,4.09,1.00355,4.0755318618903,1.1456582633053,14.16055635547,,,,,,BIGMAC_CAN
2009-07-31,3.89,1.16085,3.3509928069949,1.0896358543417,-6.13465526625,,,,,,BIGMAC_CAN
2010-01-31,4.12,1.0368,3.9737654320988,1.1508379888268,10.999034416167,,,,,,BIGMAC_CAN
2010-07-31,4.17,1.04235,4.0005756223917,1.1169642857143,7.158275599778,,,,,,BIGMAC_CAN
2011-07-31,4.73,0.94585,5.0007929375694,1.1635916359164,23.020736471572,24.443016730127,-8.7043562588581,14.467734312927,17.967626201259,20.440910865212,BIGMAC_CAN
2012-01-31,4.73,1.02095,4.6329399089084,1.1269364007605,10.381154881287,11.539703699998,-4.953073503835,9.1598724083259,7.6516733430663,11.937869579767,BIGMAC_CAN
2012-07-31,5.12,1.01945,5.0223159546814,1.1831311380705,16.055827953355,17.219036348207,5.5554360472738,9.2364562099427,18.856028827631,24.583750335658,BIGMAC_CAN
2013-01-31,5.41,1.0029,5.394356366537,1.2387244496387,23.514253628344,21.154868009762,0.49216818449287,13.908482411113,47.254624418568,26.427343864513,BIGMAC_CAN
2013-07-31,5.53,1.05125,5.2604042806183,1.2136064374543,15.444131981382,13.224413263985,2.5275052088061,17.294448910063,57.808881628516,21.051172325273,BIGMAC_CAN
2014-01-31,5.54,1.1051,5.0131209845263,1.19805370337,8.4113386453693,6.1909643618091,-8.8530074150335,-3.6093702652327,61.211274909951,4.9279584792813,BIGMAC_CAN
2014-07-31,5.64,1.07405,5.2511521809972,1.1762252346194,9.5130798956655,8.7833402269003,-8.1246944883441,-5.6714910169433,36.757376937389,16.207203330659,BIGMAC_CAN
2015-01-31,5.7,1.22855,4.6396158072525,1.1899791231733,-3.1395447337693,-2.3413393253528,-3.6475347505208,-5.2892779614807,30.538724806606,2.9734307041363,BIGMAC_CAN
2015-07-31,5.85,1.2897,4.5359385903699,1.2212943632568,-5.3039960256816,-2.0703025175293,2.4544854020537,-3.3580641278528,34.554477150533,7.9931176887857,BIGMAC_CAN
2016-01-31,5.84,1.4092,4.1441952881067,1.184584178499,-15.939243648951,-12.921437057309,-5.7966155197069,-5.8046286302169,16.364827925356,-3.8438765287885,BIGMAC_CAN
2016-07-31,6.0,1.303,4.6047582501919,1.1904761904762,-8.6357490041297,1.876316491755,0.20916705313427,17.338399445742,19.533458170405,11.428405493047,BIGMAC_CAN
2017-01-31,5.98,1.326,4.5098039215686,1.1818181818182,-10.873440285205,-0.43059401061595,1.4457944408668,21.456848583018,24.349959878472,6.4642858233391,BIGMAC_CAN
2017-07-31,5.97,1.2823,4.6556967948218,1.1264150943396,-12.156664248645,-1.1262931357391,-2.6099833837858,14.870044147622,34.306330160146,9.3362402651559,BIGMAC_CAN
2018-01-31,6.55,1.2459,5.2572437595313,1.2405303030303,-0.43098940281701,13.84788215196,1.5850733861633,16.713861612297,48.413261926742,13.060589364447,BIGMAC_CAN
2018-07-31,6.65,1.31235,5.0672457804701,1.2068965517241,-8.0,4.3,-0.8,13.8,35.6,8.2,BIGMAC_CAN
